1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Ana Freitas,49,Feminino Cisgênero,Indígena,Não,Divorciado(a),Ensino Superior Completo,Vitória,ES,"R$ 9.691,10","R$ 1.647,49",Carro,Gasolina,271,Quinzenal,Serviços adicionais,Influencia minhas escolhas,Atendimento,Mais opções de produtos nas lojas de conveniência,Excelente,Acessibilidade,Eventual,Design do aplicativo
Lucca Barros,65,Masculino Cisgênero,Preto(a),Não,Casado(a),Ensino Superior Completo,Santarém ,PA,"R$ 4.183,77","R$ 836,75",Moto,Gasolina,3790,Diária,Combustível com qualidade,Não influencia minhas escolhas,Combustível com qualidade,Mais opções de produtos nas lojas de conveniência,Regular,Acessibilidade,Eventual,Design do aplicativo
Luiz Fernando Fernandes,56,Masculino Cisgênero,Pardo(a),Não,Casado(a),Pós-graduação,Santos,SP,"R$ 7.830,30","R$ 1.370,30",Caminhão,Diesel,2898,Semanal,Serviços adicionais,Influencia minhas escolhas,Combustível com qualidade,Mais opções de produtos nas lojas de conveniência,Muito Bom,Acessibilidade,Diária,Design do aplicativo
João Guilherme Souza,79,Masculino Cisgênero,Amarelo(a),Não,Casado(a),Ensino Médio Incompleto,Fortaleza,CE,"R$ 1.618,52","R$ 323,70",Ônibus,Diesel,980,Semanal,Serviços adicionais,Não considero relevante,Lojas de Conveniência,Mais opções de produtos nas lojas de conveniência,Bom,Acessibilidade,Quinzenal,Design do aplicativo
Davi Lucas Jesus,68,Masculino Cisgênero,Preto(a),Sim,Divorciado(a),Pós-graduação,Rio de Janeiro,RJ,"R$ 8.056,82","R$ 1.409,94",Moto,Gasolina,1758,Semanal,Localização,Fator de decisão,Combustível com qualidade,Mais opções de produtos nas lojas de conveniência,Ruim,Acessibilidade,Eventual,Design do aplicativo
Emanuelly Ribeiro,39,Feminino Cisgênero,Branco(a),Não,Casado(a),Ensino Básico Completo,Contagem,MG,"R$ 2.542,84","R$ 635,71",Carro,GNV,391,Semanal,Serviços adicionais,Não considero relevante,Descontos e promoções,Mais opções de produtos nas lojas de conveniência,Ruim,Acessibilidade,Eventual,Design do aplicativo
Olivia Campos,77,Feminino Cisgênero,Branco(a),Não,Viúvo(a),Ensino Médio Incompleto,Porto Velho,RO,"R$ 5.181,67","R$ 984,52",Carro,Gasolina,3106,Mensal,Localização,Não influencia minhas escolhas,Combustível com qualidade,Mais opções de serviços adicionais nos postos de combustível,Muito Bom,Acessibilidade,Diária,Design do aplicativo
Bruna Costa,71,Feminino Cisgênero,Amarelo(a),Não,Divorciado(a),Ensino Superior Incompleto,Rio Branco ,AC,"R$ 3.732,12","R$ 1.026,33",Caminhão,Diesel,2304,Diária,Preço,Não considero relevante,Preços,Mais opções de serviços adicionais nos postos de combustível,Muito Bom,Acessibilidade,Diária,Design do aplicativo
Maysa Alves,72,Feminino Cisgênero,Branco(a),Não,Divorciado(a),Pós-graduação,Porto Velho,RO,"R$ 5.541,91","R$ 1.052,96",Caminhão,Diesel,1535,Quinzenal,Serviços adicionais,Não influencia minhas escolhas,Combustível com qualidade,Mais opções de serviços adicionais nos postos de combustível,Bom,Acessibilidade,Quinzenal,Design do aplicativo
Rafael da Mota,37,Masculino Cisgênero,Branco(a),Não,Solteiro(a),Ensino Superior Completo,Santos,SP,"R$ 4.759,53","R$ 951,91",Moto,Gasolina,3504,Semanal,Localização,Não considero relevante,Serviços adicionais,Mais opções de serviços adicionais nos postos de combustível,Excelente,Acessibilidade,Mensal,Design do aplicativo
Ana Lívia Moreira,38,Feminino Cisgênero,Preto(a),Sim,Solteiro(a),Ensino Médio Incompleto,Nova Iguaçu,RJ,"R$ 8.231,56","R$ 1.399,37",Moto,Gasolina,2616,Mensal,Combustível com qualidade,Influencia minhas escolhas,Combustível com qualidade,Mais segurança nos postos de abastecimento,Regular,Acessibilidade,Diária,Design do aplicativo
Maria Sophia Costa,47,Feminino Cisgênero,Pardo(a),Não,Divorciado(a),Ensino Superior Completo,Caruaru,PE,"R$ 8.609,56","R$ 1.463,63",Ônibus,Diesel,212,Semanal,Preço,Não influencia minhas escolhas,Higiene,Mais segurança nos postos de abastecimento,Ruim,Acessibilidade,Mensal,Design do aplicativo
Isabelly Melo,79,Feminino Cisgênero,Indígena,Não,Solteiro(a),Ensino Médio Incompleto,Duque de Caxias,RJ,"R$ 7.681,78","R$ 1.344,31",Moto,Gasolina,4083,Mensal,Serviços adicionais,Não considero relevante,Combustível com qualidade,Mais segurança nos postos de abastecimento,Bom,Acessibilidade,Mensal,Design do aplicativo
Pedro Henrique Pires,24,Masculino Cisgênero,Preto(a),Sim,Casado(a),Ensino Superior Incompleto,Caxias do Sul,RS,"R$ 5.591,75","R$ 1.062,43",Caminhão,Diesel,1173,Mensal,Serviços adicionais,Não considero relevante,Preços,Mais acessibilidade para PCDs,Bom,Acessibilidade,Quinzenal,Maior facilidade de uso
Raul Ferreira,27,Outros,Preto(a),Sim,Solteiro(a),Mestrado,Porto Velho,RO,"R$ 7.023,25","R$ 1.229,07",Caminhão,Diesel,1502,Semanal,Combustível com qualidade,Fator de decisão,Preços,Mais acessibilidade para PCDs,Excelente,Acessibilidade,Eventual,Maior facilidade de uso
Pedro Miguel Fernandes,52,Masculino Cisgênero,Amarelo(a),Sim,Divorciado(a),Ensino Básico Completo,Bauru,SP,"R$ 2.110,90","R$ 422,18",Carro,GNV,4624,Semanal,Serviços adicionais,Não considero relevante,Acessibilidade,Mais acessibilidade para PCDs,Regular,Acessibilidade,Mensal,Maior facilidade de uso
Maria Clara Peixoto,50,Feminino Cisgênero,Preto(a),Não,Viúvo(a),Ensino Básico Completo,Goiânia,GO,"R$ 2.534,98","R$ 633,75",Caminhonete,Diesel,2615,Diária,Preço,Influencia minhas escolhas,Banco24h,Mais atendentes nas lojas de conveniência,Regular,Carteira Digital (diversas opções de pagamento),Eventual,Maior facilidade de uso
Luna Moraes,22,Feminino Transgênero,Amarelo(a),Não,Viúvo(a),Ensino Básico Completo,São João de Meriti,RJ,"R$ 1.416,13","R$ 283,23",Ônibus,Diesel,4427,Quinzenal,Preço,Não considero relevante,Lojas de Conveniência,Mais terminais Banco24h,Ruim,Carteira Digital (diversas opções de pagamento),Mensal,Maior facilidade de uso
Lucas Gabriel Costela,52,Masculino Cisgênero,Preto(a),Não,Divorciado(a),Ensino Básico Completo,Vila Velha,ES,"R$ 2.799,34","R$ 699,84",Ônibus,Diesel,3045,Semanal,Serviços adicionais,Influencia minhas escolhas,Combustível com qualidade,Mais opções de pagamento,Regular,Carteira Digital (diversas opções de pagamento),Semanal,Maior facilidade de uso
Kevin Ferreira,70,Masculino Cisgênero,Branco(a),Não,Casado(a),Ensino Superior Completo,Franca,SP,"R$ 9.790,31","R$ 1.664,35",Caminhão,Diesel,1170,Semanal,Serviços adicionais,Fator de decisão,Localização,Mais opções de pagamento,Ruim,Carteira Digital (diversas opções de pagamento),Mensal,Maior facilidade de uso
Benício Jesus,25,Masculino Cisgênero,Preto(a),Não,Divorciado(a),Ensino Médio Completo,Governador Valadares,MG,"R$ 2.428,61","R$ 485,72",Ônibus,Diesel,555,Semanal,Preço,Fator de decisão,Banco24h,Mais opções de pagamento,Excelente,Carteira Digital (diversas opções de pagamento),Semanal,Maior facilidade de uso
Alícia Barbosa,79,Feminino Cisgênero,Amarelo(a),Sim,Solteiro(a),Pós-graduação,Minas Gerais,MG,"R$ 4.866,93","R$ 924,72",Moto,Gasolina,2286,Mensal,Preço,Não influencia minhas escolhas,Localização,Mais opções de pagamento,Ruim,Carteira Digital (diversas opções de pagamento),Diária,Maior facilidade de uso
João Guilherme Alves,78,Masculino Cisgênero,Pardo(a),Não,Viúvo(a),Pós-graduação,Rio de Janeiro,RJ,"R$ 7.210,40","R$ 1.261,82",Caminhão,Diesel,1584,Semanal,Preço,Influencia minhas escolhas,Serviços adicionais,Mais opções de pagamento,Regular,Carteira Digital (diversas opções de pagamento),Eventual,Maior facilidade de uso
Thomas Dias,44,Masculino Cisgênero,Amarelo(a),Não,Divorciado(a),Ensino Médio Incompleto,Taubaté ,SP,"R$ 6.228,66","R$ 1.121,16",Caminhão,Diesel,1205,Semanal,Localização,Não influencia minhas escolhas,Preços,Mais opções de pagamento,Excelente,"Vantagens (Ingressos, viagens, canais por assinatura e outros)",Semanal,Maior facilidade de uso
Nathan Monteiro,34,Feminino Transgênero,Preto(a),Não,Viúvo(a),Ensino Básico Incompleto,Rio de Janeiro,AL,"R$ 2.637,70","R$ 659,43",Carro,GNV,774,Diária,Serviços adicionais,Influencia minhas escolhas,Preços,Mais opções de pagamento,Excelente,"Vantagens (Ingressos, viagens, canais por assinatura e outros)",Eventual,Maior facilidade de uso
Raquel Castro,21,Feminino Cisgênero,Preto(a),Não,Solteiro(a),Ensino Superior Completo,Rio de Janeiro,RJ,"R$ 5.002,53","R$ 950,48",Ônibus,Diesel,950,Mensal,Combustível com qualidade,Não influencia minhas escolhas,Preços,Mais opções de pagamento,Excelente,"Vantagens (Ingressos, viagens, canais por assinatura e outros)",Diária,Maior facilidade de uso
Luana Campos,25,Feminino Transgênero,Branco(a),Não,Divorciado(a),Ensino Médio Completo,Campinas,SP,"R$ 8.348,64","R$ 1.419,27",Ônibus,Diesel,2208,Semanal,Combustível com qualidade,Não considero relevante,Preços,Mais opções de pagamento,Regular,"Vantagens (Ingressos, viagens, canais por assinatura e outros)",Diária,Maior facilidade de uso
Luiz Miguel da Mata,42,Masculino Cisgênero,Pardo(a),Não,Divorciado(a),Ensino Superior Incompleto,Curitiba,PR,"R$ 8.831,42","R$ 1.501,34",Ônibus,Diesel,4113,Diária,Preço,Influencia minhas escolhas,Localização,Mais opções de produtos nas lojas de conveniência,Ruim,"Vantagens (Ingressos, viagens, canais por assinatura e outros)",Semanal,Maior facilidade de uso
Ian Nogueira,30,Outros,Branco(a),Não,Divorciado(a),Ensino Médio Incompleto,Santos,SP,"R$ 4.733,69","R$ 946,74",Moto,Gasolina,4572,Diária,Localização,Fator de decisão,Localização,Mais opções de produtos nas lojas de conveniência,Ruim,"Vantagens (Ingressos, viagens, canais por assinatura e outros)",Diária,Maior facilidade de uso
Bianca da Cunha,76,Feminino Cisgênero,Pardo(a),Não,Solteiro(a),Ensino Médio Incompleto,São João de Meriti,RJ,"R$ 1.812,38","R$ 362,48",Ônibus,Diesel,3595,Diária,Preço,Não considero relevante,Lojas de Conveniência,Mais opções de produtos nas lojas de conveniência,Ruim,"Vantagens (Ingressos, viagens, canais por assinatura e outros)",Mensal,Maior facilidade de uso
Davi Dias,46,Masculino Cisgênero,Indígena,Sim,Viúvo(a),Ensino Básico Completo,Vitória,ES,"R$ 4.235,70","R$ 847,14",Ônibus,Diesel,1542,Diária,Serviços adicionais,Não influencia minhas escolhas,Serviços adicionais,Mais opções de produtos nas lojas de conveniência,Excelente,"Vantagens (Ingressos, viagens, canais por assinatura e outros)",Mensal,Maior facilidade de uso
Samuel Mendes,47,Masculino Cisgênero,Indígena,Sim,Divorciado(a),Ensino Superior Completo,São João de Meriti,RJ,"R$ 5.397,15","R$ 1.025,46",Carro,GNV,2276,Quinzenal,Localização,Não considero relevante,Preços,Mais opções de produtos nas lojas de conveniência,Excelente,"Vantagens (Ingressos, viagens, canais por assinatura e outros)",Semanal,Maior facilidade de uso
Catarina Cardoso,19,Feminino Cisgênero,Pardo(a),Não,Solteiro(a),Ensino Superior Completo,Recife,PE,"R$ 8.780,46","R$ 1.492,68",Carro,Gasolina,1668,Diária,Serviços adicionais,Fator de decisão,Higiene,Mais opções de produtos nas lojas de conveniência,Excelente,"Vantagens (Ingressos, viagens, canais por assinatura e outros)",Diária,Maior facilidade de uso
Lívia Costela,21,Feminino Transgênero,Preto(a),Não,Solteiro(a),Ensino Superior Incompleto,Salvador,BA,"R$ 4.022,14","R$ 804,43",Carro,Álcool,2506,Semanal,Serviços adicionais,Influencia minhas escolhas,Preços,Mais opções de produtos nas lojas de conveniência,Bom,"Vantagens (Ingressos, viagens, canais por assinatura e outros)",Eventual,Maior facilidade de uso
Arthur da Mata,40,Masculino Cisgênero,Branco(a),Não,Divorciado(a),Ensino Médio Completo,Recife,PE,"R$ 2.917,67","R$ 729,42",Caminhonete,Diesel,50,Semanal,Localização,Não considero relevante,Preços,Mais opções de produtos nas lojas de conveniência,Bom,"Vantagens (Ingressos, viagens, canais por assinatura e outros)",Mensal,Maior facilidade de uso
Pietra da Rosa,35,Feminino Cisgênero,Amarelo(a),Sim,Casado(a),Ensino Médio Incompleto,Rio de Janeiro,RJ,"R$ 8.482,50","R$ 1.442,03",Moto,Gasolina,1085,Mensal,Preço,Não influencia minhas escolhas,Localização,Mais segurança nos postos de abastecimento,Bom,"Vantagens (Ingressos, viagens, canais por assinatura e outros)",Quinzenal,Maior facilidade de uso
Lorena da Mota,37,Feminino Cisgênero,Indígena,Sim,Casado(a),Pós-graduação,Pelotas,RS,"R$ 3.389,64","R$ 932,15",Caminhão,Diesel,551,Diária,Combustível com qualidade,Influencia minhas escolhas,Serviços adicionais,Mais segurança nos postos de abastecimento,Regular,"Vantagens (Ingressos, viagens, canais por assinatura e outros)",Semanal,Maior facilidade de uso
Luiz Miguel Santos,27,Masculino Cisgênero,Pardo(a),Sim,Solteiro(a),Pós-graduação,Rio de Janeiro,RJ,"R$ 3.613,33","R$ 993,67",Ônibus,Diesel,350,Semanal,Serviços adicionais,Influencia minhas escolhas,Serviços adicionais,Mais segurança nos postos de abastecimento,Ruim,"Vantagens (Ingressos, viagens, canais por assinatura e outros)",Semanal,Maior facilidade de uso
Davi Ramos,62,Masculino Cisgênero,Pardo(a),Não,Divorciado(a),Ensino Médio Completo,Vila Velha,ES,"R$ 8.501,83","R$ 1.445,31",Caminhão,Diesel,1476,Diária,Preço,Fator de decisão,Combustível com qualidade,Mais segurança nos postos de abastecimento,Excelente,"Vantagens (Ingressos, viagens, canais por assinatura e outros)",Semanal,Maior facilidade de uso
Kaique Silveira,80,Masculino Cisgênero,Amarelo(a),Sim,Casado(a),Ensino Básico Completo,Montes Claros,MG,"R$ 2.770,46","R$ 692,62",Moto,Gasolina,3598,Semanal,Combustível com qualidade,Não influencia minhas escolhas,Preços,Mais segurança nos postos de abastecimento,Regular,"Vantagens (Ingressos, viagens, canais por assinatura e outros)",Eventual,Maior facilidade de uso
Mariane Rosa,67,Feminino Cisgênero,Amarelo(a),Não,Divorciado(a),Ensino Superior Incompleto,Taubaté ,SP,"R$ 3.695,95","R$ 1.016,39",Ônibus,Diesel,1949,Quinzenal,Preço,Não considero relevante,Serviços adicionais,Mais segurança nos postos de abastecimento,Excelente,"Vantagens (Ingressos, viagens, canais por assinatura e outros)",Mensal,Maior facilidade de uso
Alexia Viana,27,Feminino Transgênero,Branco(a),Não,Casado(a),Pós-graduação,Nova Iguaçu,RJ,"R$ 8.447,51","R$ 1.436,08",Moto,Gasolina,4722,Diária,Localização,Influencia minhas escolhas,Preços,Mais segurança nos postos de abastecimento,Excelente,"Vantagens (Ingressos, viagens, canais por assinatura e outros)",Eventual,Maior facilidade de uso
Maitê Nascimento,58,Feminino Cisgênero,Pardo(a),Não,Solteiro(a),Ensino Médio Incompleto,Caxias do Sul,RS,"R$ 8.496,93","R$ 1.444,48",Ônibus,Diesel,3355,Quinzenal,Serviços adicionais,Não considero relevante,Preços,Mais segurança nos postos de abastecimento,Ruim,"Vantagens (Ingressos, viagens, canais por assinatura e outros)",Semanal,Maior facilidade de uso
Lorena Rocha,25,Feminino Transgênero,Branco(a),Não,Divorciado(a),Pós-graduação,Rio de Janeiro,RJ,"R$ 4.674,76","R$ 934,95",Carro,GNV,3094,Diária,Combustível com qualidade,Influencia minhas escolhas,Serviços adicionais,Mais segurança nos postos de abastecimento,Regular,"Vantagens (Ingressos, viagens, canais por assinatura e outros)",Mensal,Maior facilidade de uso
Camila Carvalho,51,Feminino Cisgênero,Branco(a),Não,Viúvo(a),Ensino Médio Incompleto,Contagem,MG,"R$ 8.364,92","R$ 1.422,04",Moto,Gasolina,2006,Diária,Preço,Não influencia minhas escolhas,Serviços adicionais,Mais segurança nos postos de abastecimento,Ruim,"Vantagens (Ingressos, viagens, canais por assinatura e outros)",Eventual,Maior facilidade de uso
Mirella Mendes,44,Feminino Cisgênero,Amarelo(a),Não,Casado(a),Ensino Superior Incompleto,Rio de Janeiro,RJ,"R$ 4.277,31","R$ 855,46",Caminhão,Diesel,1181,Diária,Preço,Influencia minhas escolhas,Banco24h,Mais vantagens com o programa de fidelidade,Bom,"Vantagens (Ingressos, viagens, canais por assinatura e outros)",Mensal,Maior facilidade de uso
Laís Aragão,26,Feminino Cisgênero,Pardo(a),Não,Viúvo(a),Ensino Superior Incompleto,Rio Branco ,AC,"R$ 8.228,45","R$ 1.398,84",Caminhão,Diesel,713,Quinzenal,Localização,Não influencia minhas escolhas,Localização,Mais vantagens com o programa de fidelidade,Ruim,"Vantagens (Ingressos, viagens, canais por assinatura e outros)",Diária,Maior facilidade de uso
André da Mata,43,Masculino Cisgênero,Branco(a),Não,Divorciado(a),Ensino Médio Completo,Franca,SP,"R$ 9.383,82","R$ 1.595,25",Carro,GNV,3058,Semanal,Combustível com qualidade,Influencia minhas escolhas,Localização,Mais vantagens com o programa de fidelidade,Ruim,"Vantagens (Ingressos, viagens, canais por assinatura e outros)",Mensal,Maior facilidade de uso
João Lucas da Cunha,38,Masculino Cisgênero,Indígena,Sim,Divorciado(a),Pós-graduação,São Paulo,SP,"R$ 8.884,91","R$ 1.510,43",Moto,Gasolina,3751,Quinzenal,Combustível com qualidade,Não considero relevante,Localização,Mais vantagens com o programa de fidelidade,Muito Bom,Cashback,Diária,Maior facilidade de uso
Ana Laura da Mata,48,Feminino Cisgênero,Indígena,Sim,Casado(a),Ensino Superior Incompleto,Natal,RN,"R$ 8.651,54","R$ 1.470,76",Carro,Álcool,4176,Diária,Localização,Influencia minhas escolhas,Combustível com qualidade,Mais vantagens com o programa de fidelidade,Bom,Cashback,Quinzenal,Maior facilidade de uso
Maria Cardoso,65,Feminino Cisgênero,Pardo(a),Sim,Viúvo(a),Ensino Médio Completo,Porto Velho,RO,"R$ 6.398,56","R$ 1.151,74",Caminhão,Diesel,1340,Diária,Serviços adicionais,Não influencia minhas escolhas,Localização,Mais vantagens com o programa de fidelidade,Regular,Cashback,Eventual,Maior facilidade de uso
Laura Moraes,38,Feminino Cisgênero,Indígena,Sim,Viúvo(a),Pós-graduação,Rio Branco ,AC,"R$ 3.515,57","R$ 966,78",Moto,Gasolina,4064,Diária,Combustível com qualidade,Influencia minhas escolhas,Preços,Mais vantagens com o programa de fidelidade,Bom,Cashback,Quinzenal,Maior facilidade de uso
Sophia da Rocha,60,Feminino Cisgênero,Amarelo(a),Não,Divorciado(a),Ensino Superior Completo,Belo Horizonte,SC,"R$ 6.046,53","R$ 1.088,38",Caminhão,Diesel,3251,Quinzenal,Preço,Influencia minhas escolhas,Combustível com qualidade,Mais vantagens com o programa de fidelidade,Regular,Cashback,Semanal,Maior facilidade de uso
Felipe Aragão,53,Masculino Cisgênero,Preto(a),Não,Divorciado(a),Ensino Básico Incompleto,Duque de Caxias,RJ,"R$ 2.271,32","R$ 454,26",Moto,Gasolina,350,Mensal,Preço,Fator de decisão,Combustível com qualidade,Mais terminais Banco24h,Ruim,Cashback,Eventual,Maior facilidade de uso
Davi Lucas Viana,27,Masculino Cisgênero,Branco(a),Não,Casado(a),Ensino Básico Completo,Rio de Janeiro,RJ,"R$ 1.895,07","R$ 379,01",Carro,GNV,4182,Mensal,Combustível com qualidade,Não influencia minhas escolhas,Lojas de Conveniência,Mais bombas de auto-atendimento,Bom,Cashback,Mensal,Maior facilidade de uso
Milena Duarte,57,Feminino Cisgênero,Pardo(a),Não,Casado(a),Ensino Médio Completo,Rio de Janeiro,RJ,"R$ 5.592,76","R$ 1.062,62",Caminhão,Diesel,2615,Semanal,Localização,Influencia minhas escolhas,Preços,Mais opções de pagamento,Ruim,Cashback,Diária,Maior facilidade de uso
Luiz Gustavo Nogueira,21,Masculino Cisgênero,Amarelo(a),Sim,Solteiro(a),Ensino Médio Completo,Franca,SP,"R$ 5.014,25","R$ 952,71",Carro,GNV,1514,Quinzenal,Serviços adicionais,Influencia minhas escolhas,Acessibilidade,Mais opções de pagamento,Muito Bom,Cashback,Diária,Maior facilidade de uso
Vinicius Alves,67,Masculino Cisgênero,Preto(a),Não,Divorciado(a),Ensino Básico Incompleto,Contagem,MG,"R$ 1.883,12","R$ 376,62",Carro,Álcool,4084,Quinzenal,Preço,Fator de decisão,Descontos e promoções,Mais opções de pagamento,Excelente,Cashback,Mensal,Maior facilidade de uso
Luiz Gustavo Fogaça,73,Masculino Cisgênero,Indígena,Não,Casado(a),Ensino Médio Completo,Rio de Janeiro,RJ,"R$ 6.839,79","R$ 1.231,16",Moto,Gasolina,1185,Quinzenal,Preço,Influencia minhas escolhas,Localização,Mais opções de pagamento,Excelente,Cashback,Diária,Maior facilidade de uso
Heloísa Melo,19,Feminino Cisgênero,Pardo(a),Não,Solteiro(a),Ensino Superior Completo,Duque de Caxias,RJ,"R$ 8.110,32","R$ 1.378,75",Caminhão,Diesel,608,Diária,Serviços adicionais,Influencia minhas escolhas,Preços,Mais opções de pagamento,Excelente,Cashback,Diária,Maior facilidade de uso
Paulo Correia,75,Masculino Cisgênero,Indígena,Sim,Divorciado(a),Ensino Superior Incompleto,Londrina,PR,"R$ 8.279,74","R$ 1.407,56",Carro,Álcool,986,Semanal,Serviços adicionais,Não considero relevante,Localização,Mais opções de pagamento,Excelente,"Opções de parcerias para trocar cashback (AmPm, Gás, NetShoes e outros)",Mensal,Maior facilidade de uso
Rafael Lopes,43,Masculino Cisgênero,Preto(a),Não,Casado(a),Ensino Superior Completo,Piracicaba,SP,"R$ 6.844,78","R$ 1.232,06",Carro,Álcool,4257,Quinzenal,Localização,Não influencia minhas escolhas,Preços,Mais opções de pagamento,Excelente,"Opções de parcerias para trocar cashback (AmPm, Gás, NetShoes e outros)",Mensal,Maior facilidade de uso
Isaac Cardoso,19,Masculino Cisgênero,Pardo(a),Não,Solteiro(a),Pós-graduação,Belo Horizonte,SC,"R$ 6.404,09","R$ 1.152,74",Carro,Gasolina,2696,Diária,Preço,Influencia minhas escolhas,Combustível com qualidade,Mais opções de pagamento,Bom,"Opções de parcerias para trocar cashback (AmPm, Gás, NetShoes e outros)",Mensal,Maior facilidade de uso
Pedro Barros,55,Masculino Cisgênero,Preto(a),Não,Divorciado(a),Pós-graduação,Campo Grande,MS,"R$ 8.522,47","R$ 1.448,82",Ônibus,Diesel,740,Mensal,Localização,Não considero relevante,Combustível com qualidade,Mais opções de pagamento,Regular,"Opções de parcerias para trocar cashback (AmPm, Gás, NetShoes e outros)",Diária,Maior facilidade de uso
Beatriz Almeida,53, Feminino Cisgênero,Amarelo(a),Sim,Divorciado(a),Ensino Básico Incompleto,Recife,PE,"R$ 1.786,84","R$ 357,37",Ônibus,Diesel,915,Diária,Serviços adicionais,Não considero relevante,Preços,Mais opções de pagamento,Excelente,"Opções de parcerias para trocar cashback (AmPm, Gás, NetShoes e outros)",Diária,Maior facilidade de uso
Sarah Caldeira,53,Feminino Cisgênero,Pardo(a),Não,Divorciado(a),Ensino Médio Incompleto,Fortaleza,CE,"R$ 1.939,27","R$ 387,85",Caminhão,Diesel,2841,Semanal,Combustível com qualidade,Não influencia minhas escolhas,Combustível com qualidade,Mais opções de pagamento,Ruim,"Opções de parcerias para trocar cashback (AmPm, Gás, NetShoes e outros)",Mensal,Maior facilidade de uso
Rafaela Duarte,43,Masculino Cisgênero,Pardo(a),Não,Solteiro(a),Ensino Médio Completo,Manaus,AM,"R$ 9.262,22","R$ 1.574,58",Carro,GNV,2458,Semanal,Combustível com qualidade,Influencia minhas escolhas,Segurança,Mais opções de pagamento,Excelente,"Opções de parcerias para trocar cashback (AmPm, Gás, NetShoes e outros)",Semanal,Maior facilidade de uso
Emanuella Gomes,18,Feminino Cisgênero,Preto(a),Não,Divorciado(a),Ensino Médio Incompleto,Bauru,SP,"R$ 3.460,65","R$ 951,68",Ônibus,Diesel,4130,Semanal,Combustível com qualidade,Não considero relevante,Preços,Mais opções de produtos nas lojas de conveniência,Excelente,"Opções de parcerias para trocar cashback (AmPm, Gás, NetShoes e outros)",Mensal,Maior facilidade de uso
João Farias,39,Masculino Cisgênero,Indígena,Não,Solteiro(a),Ensino Básico Completo,Belém do Pará,PA,"R$ 2.529,42","R$ 632,36",Ônibus,Diesel,1297,Diária,Combustível com qualidade,Não considero relevante,Combustível com qualidade,Mais opções de produtos nas lojas de conveniência,Bom,"Opções de parcerias para trocar cashback (AmPm, Gás, NetShoes e outros)",Quinzenal,Maior facilidade de uso
Valentina Nogueira,55,Feminino Cisgênero,Amarelo(a),Não,Divorciado(a),Doutorado,Minas Gerais,MG,"R$ 8.057,00","R$ 1.409,98",Carro,Álcool,4342,Mensal,Preço,Influencia minhas escolhas,Combustível com qualidade,Mais opções de produtos nas lojas de conveniência,Bom,"Opções de parcerias para trocar cashback (AmPm, Gás, NetShoes e outros)",Eventual,Maior facilidade de uso
João Fernandes,79,Masculino Cisgênero,Branco(a),Não,Divorciado(a),Pós-graduação,Nova Iguaçu,RJ,"R$ 8.609,87","R$ 1.463,68",Ônibus,Diesel,3321,Quinzenal,Localização,Fator de decisão,Combustível com qualidade,Mais opções de produtos nas lojas de conveniência,Bom,"Opções de parcerias para trocar cashback (AmPm, Gás, NetShoes e outros)",Quinzenal,Maior facilidade de uso
Catarina Almeida,57,Feminino Cisgênero,Pardo(a),Não,Solteiro(a),Ensino Médio Completo,São João de Meriti,RJ,"R$ 9.313,17","R$ 1.583,24",Moto,Gasolina,2264,Semanal,Combustível com qualidade,Influencia minhas escolhas,Combustível com qualidade,Mais opções de produtos nas lojas de conveniência,Ruim,"Opções de parcerias para trocar cashback (AmPm, Gás, NetShoes e outros)",Eventual,Maior facilidade de uso
Davi da Mota,35,Masculino Cisgênero,Preto(a),Não,Solteiro(a),Ensino Superior Completo,Rio de Janeiro,RJ,"R$ 7.753,40","R$ 1.356,85",Ônibus,Diesel,2077,Quinzenal,Serviços adicionais,Fator de decisão,Preços,Mais opções de produtos nas lojas de conveniência,Bom,"Opções de parcerias para trocar cashback (AmPm, Gás, NetShoes e outros)",Eventual,Maior facilidade de uso
Eduardo Barros,61,Masculino Cisgênero,Branco(a),Não,Casado(a),Ensino Básico Completo,São Bernardo do Campo,SP,"R$ 2.814,34","R$ 703,59",Caminhão,Diesel,4454,Diária,Preço,Fator de decisão,Banco24h,Mais opções de produtos nas lojas de conveniência,Excelente,"Opções de parcerias para trocar cashback (AmPm, Gás, NetShoes e outros)",Semanal,Maior facilidade de uso
Vinicius Nogueira,25,Masculino Cisgênero,Branco(a),Não,Divorciado(a),Ensino Superior Incompleto,São João de Meriti,RJ,"R$ 7.327,53","R$ 1.282,32",Moto,Gasolina,1358,Diária,Combustível com qualidade,Não considero relevante,Combustível com qualidade,Mais segurança nos postos de abastecimento,Bom,"Opções de parcerias para trocar cashback (AmPm, Gás, NetShoes e outros)",Quinzenal,Maior facilidade de uso
Caio Teixeira,58,Masculino Cisgênero,Pardo(a),Não,Solteiro(a),Ensino Médio Completo,Franca,SP,"R$ 8.614,73","R$ 1.464,50",Moto,Gasolina,1015,Semanal,Localização,Não considero relevante,Localização,Mais segurança nos postos de abastecimento,Bom,"Opções de parcerias para trocar cashback (AmPm, Gás, NetShoes e outros)",Quinzenal,Maior facilidade de uso
