1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
Natália Pires,Masculino,36,da Mata,PE,Divorciado(a),Ensino Superior Completo,"R$ 3.741,46",Moto,Gasolina,4115,Mais funcionalidades,Limpeza e organização,Preço,Programa de fidelidade,Extremamente importante e só escolho postos que levam isso a sério,Semanalmente,Localização,Mensalmente,Vantagens,Ótimo
Dr. João Guilherme Alves,Masculino,78,Melo,MG,Viúvo(a),Pós-graduação,"R$ 7.210,40",Caminhão,Diesel,1584,Maior facilidade de uso,Limpeza e organização,Serviços adicionais,Mais opções de pagamento,Importante e influencia minha escolha,Semanalmente,Localização,Raramente,Ambiental,Ótimo
Vinicius Cavalcanti,Feminino,23,Vieira das Pedras,RO,Solteiro(a),Ensino Médio Incompleto,"R$ 5.032,78",Carro,GNV,112,Ofertas mais atraentes,Segurança,Preço,Programa de fidelidade,Não considero importante,Diariamente,Serviços Oferecidos,Mensalmente,Indicação,Bom
Vitor Hugo da Rocha,Masculino,55,Nogueira,PA,Viúvo(a),Ensino Médio Completo,"R$ 7.407,33",Caminhão,Diesel,2098,Design do aplicativo,Combustível de qualidade,Preço,Postos mais modernos,Não considero importante,Mensalmente,Serviços Oferecidos,Diariamente,Ambiental,Ruim
Maitê Jesus,Masculino,80,Carvalho de Goiás,PA,Casado(a),Ensino Superior Incompleto,"R$ 2.521,52",Moto,Gasolina,820,Design do aplicativo,Atendimento ao cliente,Localização,Programa de fidelidade,Não considero importante,Mensalmente,Preço,Mensalmente,Economia,Bom
Alexandre Barbosa,Feminino,40,Lima da Prata,MG,Casado(a),Ensino Médio Incompleto,"R$ 5.259,89",Moto,Gasolina,2734,Mais funcionalidades,Segurança,Serviços adicionais,Postos mais modernos,"Importante, mas não influencia minha escolha",Mensalmente,Serviços Oferecidos,Raramente,Facilidade,Excelente
Olivia das Neves,Feminino,34,Fernandes,PR,Viúvo(a),Ensino Médio Completo,"R$ 3.150,85",Carro,Gasolina,1172,Design do aplicativo,Atendimento ao cliente,Qualidade do combustível,Melhorias no ambiente de loja de conveniência,Não considero importante,Diariamente,Serviços Oferecidos,Mensalmente,Facilidade,Ótimo
Sr. Raul Barros,Feminino,38,Gonçalves,TO,Viúvo(a),Ensino Médio Completo,"R$ 7.467,54",Carro,Gasolina,2753,Maior facilidade de uso,Combustível de qualidade,Localização,Postos mais modernos,Importante e influencia minha escolha,Mensalmente,Promoções e Descontos,Raramente,Facilidade,Ótimo
Laura Ribeiro,Feminino,76,Rezende da Mata,MG,Divorciado(a),Pós-graduação,"R$ 6.462,28",Caminhão,Diesel,281,Mais funcionalidades,Segurança,Preço,Melhorias no ambiente de loja de conveniência,Não considero importante,Semanalmente,Qualidade Combustível,Semanalmente,Ambiental,Ótimo
Bruno Pires,Masculino,53,da Conceição,MT,Divorciado(a),Pós-graduação,"R$ 7.229,86",Ônibus,Diesel,611,Mais funcionalidades,Atendimento ao cliente,Qualidade do combustível,Postos mais modernos,Importante e influencia minha escolha,Mensalmente,Promoções e Descontos,Raramente,Economia,Excelente
Srta. Isis Moura,Masculino,67,Castro,TO,Solteiro(a),Pós-graduação,"R$ 6.722,36",Moto,Gasolina,1784,Mais funcionalidades,Combustível de qualidade,Serviços adicionais,Mais opções de pagamento,Não considero importante,Mensalmente,Qualidade Combustível,Mensalmente,Ambiental,Bom
Luiz Henrique Pires,Masculino,44,Fernandes,PA,Divorciado(a),Ensino Superior Completo,"R$ 5.554,28",Moto,Gasolina,2009,Ofertas mais atraentes,Segurança,Serviços adicionais,Mais opções de pagamento,"Importante, mas não influencia minha escolha",Mensalmente,Preço,Diariamente,Facilidade,Bom
Ana Beatriz Alves,Feminino,53,Fernandes,PE,Viúvo(a),Ensino Médio Completo,"R$ 7.464,05",Moto,Gasolina,4293,Ofertas mais atraentes,Atendimento ao cliente,Localização,Mais opções de pagamento,"Importante, mas não influencia minha escolha",Mensalmente,Preço,Diariamente,Vantagens,Ruim
Brenda Moreira,Feminino,29,Barbosa,PB,Casado(a),Ensino Médio Incompleto,"R$ 1.541,41",Caminhão,Diesel,2529,Design do aplicativo,Segurança,Qualidade do combustível,Mais opções de pagamento,Importante e influencia minha escolha,Raramente,Localização,Semanalmente,Facilidade,Bom
Sra. Mirella Aragão,Feminino,50,Lima,AP,Viúvo(a),Pós-graduação,"R$ 9.567,05",Caminhão,Diesel,425,Ofertas mais atraentes,Combustível de qualidade,Localização,Melhorias no ambiente de loja de conveniência,"Importante, mas não influencia minha escolha",Diariamente,Qualidade Combustível,Diariamente,Ambiental,Ruim
Elisa Almeida,Feminino,25,Campos,GO,Divorciado(a),Ensino Médio Completo,"R$ 6.388,85",Camionete,Diesel,1600,Maior facilidade de uso,Atendimento ao cliente,Preço,Mais opções de pagamento,Extremamente importante e só escolho postos que levam isso a sério,Raramente,Serviços Oferecidos,Diariamente,Indicação,Excelente
Mariane Rocha,Masculino,18,Lopes,BA,Viúvo(a),Ensino Superior Completo,"R$ 9.922,83",Moto,Gasolina,503,Ofertas mais atraentes,Segurança,Localização,Postos mais modernos,Extremamente importante e só escolho postos que levam isso a sério,Diariamente,Qualidade Combustível,Mensalmente,Economia,Excelente
Clara Teixeira,Masculino,63,Ribeiro de Caldeira,SE,Solteiro(a),Pós-graduação,"R$ 3.145,40",Camionete,Diesel,2811,Design do aplicativo,Segurança,Localização,Melhorias no ambiente de loja de conveniência,Não considero importante,Raramente,Preço,Diariamente,Ambiental,Ótimo
Sabrina Moreira,Feminino,42,Viana,PI,Divorciado(a),Ensino Superior Completo,"R$ 5.702,62",Ônibus,Diesel,1484,Mais funcionalidades,Atendimento ao cliente,Serviços adicionais,Mais opções de pagamento,Não considero importante,Diariamente,Preço,Semanalmente,Vantagens,Bom
Felipe Souza,Masculino,59,Mendes de Santos,RN,Casado(a),Ensino Superior Completo,"R$ 8.865,04",Moto,Gasolina,1182,Mais funcionalidades,Atendimento ao cliente,Preço,Programa de fidelidade,Extremamente importante e só escolho postos que levam isso a sério,Mensalmente,Qualidade Combustível,Mensalmente,Economia,Bom
Heitor da Conceição,Feminino,41,Fogaça,MG,Divorciado(a),Pós-graduação,"R$ 2.363,76",Carro,Álcool,2013,Design do aplicativo,Combustível de qualidade,Localização,Programa de fidelidade,"Importante, mas não influencia minha escolha",Raramente,Promoções e Descontos,Mensalmente,Economia,Bom
Raul Moura,Masculino,79,Silva,RO,Viúvo(a),Ensino Superior Incompleto,"R$ 1.585,64",Caminhão,Diesel,2491,Ofertas mais atraentes,Segurança,Qualidade do combustível,Postos mais modernos,Importante e influencia minha escolha,Diariamente,Localização,Semanalmente,Economia,Bom
Milena Sales,Masculino,62,da Conceição de da Mata,RS,Divorciado(a),Ensino Médio Incompleto,"R$ 7.530,29",Carro,Gasolina,4379,Design do aplicativo,Limpeza e organização,Localização,Melhorias no ambiente de loja de conveniência,Não considero importante,Raramente,Formas de Pagamento,Raramente,Vantagens,Ótimo
Sra. Isabelly Melo,Masculino,79,Farias,SE,Solteiro(a),Ensino Médio Incompleto,"R$ 7.681,78",Moto,Gasolina,4083,Design do aplicativo,Combustível de qualidade,Qualidade do combustível,Postos mais modernos,Não considero importante,Mensalmente,Localização,Mensalmente,Indicação,Bom
Noah da Rocha,Masculino,56,Ramos das Pedras,MS,Casado(a),Ensino Médio Incompleto,"R$ 8.607,03",Camionete,Diesel,1320,Ofertas mais atraentes,Segurança,Preço,Postos mais modernos,Importante e influencia minha escolha,Semanalmente,Localização,Mensalmente,Economia,Excelente
André Lopes,Masculino,33,Santos Paulista,RS,Viúvo(a),Pós-graduação,"R$ 1.823,72",Caminhão,Diesel,769,Design do aplicativo,Limpeza e organização,Localização,Postos mais modernos,Não considero importante,Raramente,Qualidade Combustível,Raramente,Facilidade,Ótimo
Juliana Nogueira,Feminino,24,Almeida do Galho,RS,Divorciado(a),Pós-graduação,"R$ 3.721,58",Caminhão,Diesel,3214,Mais funcionalidades,Limpeza e organização,Localização,Melhorias no ambiente de loja de conveniência,Extremamente importante e só escolho postos que levam isso a sério,Semanalmente,Localização,Semanalmente,Facilidade,Bom
Sr. Gustavo Azevedo,Feminino,37,Caldeira,SP,Divorciado(a),Ensino Médio Completo,"R$ 4.395,85",Ônibus,Diesel,3378,Maior facilidade de uso,Atendimento ao cliente,Serviços adicionais,Postos mais modernos,"Importante, mas não influencia minha escolha",Mensalmente,Formas de Pagamento,Mensalmente,Economia,Excelente
Caroline Oliveira,Feminino,66,Lopes,SE,Viúvo(a),Ensino Médio Completo,"R$ 6.315,80",Moto,Gasolina,863,Design do aplicativo,Segurança,Qualidade do combustível,Postos mais modernos,Não considero importante,Semanalmente,Qualidade Combustível,Diariamente,Ambiental,Bom
Dr. Pedro Miguel Fernandes,Feminino,52,Cavalcanti do Oeste,SE,Divorciado(a),Pós-graduação,"R$ 2.110,90",Carro,GNV,4624,Maior facilidade de uso,Segurança,Qualidade do combustível,Postos mais modernos,Não considero importante,Semanalmente,Promoções e Descontos,Mensalmente,Vantagens,Ótimo
Isabella Pereira,Masculino,22,Monteiro da Mata,PR,Divorciado(a),Ensino Superior Completo,"R$ 4.815,22",Ônibus,Diesel,2393,Ofertas mais atraentes,Segurança,Localização,Melhorias no ambiente de loja de conveniência,Não considero importante,Diariamente,Serviços Oferecidos,Mensalmente,Ambiental,Ótimo
Sr. João Lucas Pires,Feminino,50,Pires de Ferreira,PB,Viúvo(a),Pós-graduação,"R$ 9.717,46",Carro,GNV,2450,Maior facilidade de uso,Atendimento ao cliente,Qualidade do combustível,Melhorias no ambiente de loja de conveniência,Extremamente importante e só escolho postos que levam isso a sério,Mensalmente,Serviços Oferecidos,Diariamente,Vantagens,Ótimo
Sra. Gabriela da Mota,Feminino,50,das Neves,RO,Solteiro(a),Ensino Superior Completo,"R$ 6.540,29",Moto,Gasolina,3085,Design do aplicativo,Combustível de qualidade,Qualidade do combustível,Melhorias no ambiente de loja de conveniência,Importante e influencia minha escolha,Diariamente,Preço,Mensalmente,Indicação,Ruim
Marcela Nascimento,Feminino,70,Novaes,AM,Viúvo(a),Ensino Superior Completo,"R$ 4.212,59",Caminhão,Diesel,2030,Design do aplicativo,Atendimento ao cliente,Qualidade do combustível,Programa de fidelidade,"Importante, mas não influencia minha escolha",Mensalmente,Promoções e Descontos,Semanalmente,Indicação,Excelente
Laura Novaes,Feminino,34,Lima da Prata,AP,Viúvo(a),Ensino Médio Incompleto,"R$ 6.807,11",Ônibus,Diesel,3683,Design do aplicativo,Atendimento ao cliente,Localização,Postos mais modernos,"Importante, mas não influencia minha escolha",Mensalmente,Serviços Oferecidos,Diariamente,Ambiental,Ótimo
Sr. Cauã Pereira,Feminino,77,Pereira,PR,Viúvo(a),Ensino Superior Incompleto,"R$ 6.783,60",Moto,Gasolina,585,Mais funcionalidades,Combustível de qualidade,Serviços adicionais,Programa de fidelidade,Extremamente importante e só escolho postos que levam isso a sério,Diariamente,Localização,Diariamente,Indicação,Excelente
Elisa Ramos,Masculino,78,Almeida,AC,Divorciado(a),Ensino Médio Completo,"R$ 3.611,33",Caminhão,Diesel,309,Maior facilidade de uso,Segurança,Localização,Programa de fidelidade,"Importante, mas não influencia minha escolha",Diariamente,Serviços Oferecidos,Diariamente,Facilidade,Ótimo
Benício Cardoso,Masculino,40,Porto Alegre,RR,Solteiro(a),Ensino Superior Completo,"R$ 7.637,21",Moto,Gasolina,737,Mais funcionalidades,Limpeza e organização,Preço,Mais opções de pagamento,Importante e influencia minha escolha,Mensalmente,Formas de Pagamento,Mensalmente,Ambiental,Ótimo
Bryan Barros,Masculino,24,Cavalcanti,RO,Casado(a),Ensino Médio Incompleto,"R$ 7.527,08",Moto,Gasolina,3285,Ofertas mais atraentes,Atendimento ao cliente,Serviços adicionais,Mais opções de pagamento,Importante e influencia minha escolha,Semanalmente,Formas de Pagamento,Mensalmente,Economia,Ótimo
Nathan Jesus,Masculino,60,da Cunha,PA,Casado(a),Ensino Médio Completo,"R$ 7.299,44",Caminhão,Diesel,2648,Maior facilidade de uso,Segurança,Preço,Melhorias no ambiente de loja de conveniência,"Importante, mas não influencia minha escolha",Diariamente,Localização,Raramente,Facilidade,Excelente
Sr. Heitor da Cunha,Feminino,59,Martins do Oeste,PA,Solteiro(a),Ensino Médio Incompleto,"R$ 8.583,29",Caminhão,Diesel,2351,Ofertas mais atraentes,Combustível de qualidade,Serviços adicionais,Programa de fidelidade,Extremamente importante e só escolho postos que levam isso a sério,Mensalmente,Preço,Raramente,Economia,Ótimo
Luana Silva,Masculino,27,Costa de Almeida,MA,Solteiro(a),Ensino Médio Completo,"R$ 9.718,02",Ônibus,Diesel,1617,Mais funcionalidades,Atendimento ao cliente,Qualidade do combustível,Melhorias no ambiente de loja de conveniência,Não considero importante,Mensalmente,Preço,Semanalmente,Vantagens,Ótimo
Sr. Anthony da Rosa,Feminino,43,da Conceição,SP,Viúvo(a),Ensino Superior Incompleto,"R$ 3.613,90",Ônibus,Diesel,2891,Mais funcionalidades,Atendimento ao cliente,Serviços adicionais,Postos mais modernos,"Importante, mas não influencia minha escolha",Raramente,Preço,Mensalmente,Indicação,Ruim
Vitória Santos,Feminino,78,Moreira das Flores,RJ,Viúvo(a),Ensino Superior Completo,"R$ 1.769,50",Ônibus,Diesel,3908,Mais funcionalidades,Limpeza e organização,Qualidade do combustível,Postos mais modernos,"Importante, mas não influencia minha escolha",Diariamente,Promoções e Descontos,Mensalmente,Ambiental,Ruim
Lorenzo Ferreira,Feminino,73,Martins de Correia,PB,Casado(a),Ensino Superior Incompleto,"R$ 3.437,75",Carro,GNV,849,Mais funcionalidades,Segurança,Preço,Postos mais modernos,Não considero importante,Mensalmente,Localização,Diariamente,Facilidade,Ótimo
Dr. Francisco Araújo,Feminino,26,Sales de Martins,MT,Solteiro(a),Pós-graduação,"R$ 9.494,94",Carro,GNV,1538,Ofertas mais atraentes,Segurança,Preço,Melhorias no ambiente de loja de conveniência,Extremamente importante e só escolho postos que levam isso a sério,Raramente,Qualidade Combustível,Mensalmente,Ambiental,Ótimo
Maria Vitória das Neves,Feminino,78,Mendes,DF,Viúvo(a),Ensino Médio Completo,"R$ 6.445,33",Ônibus,Diesel,2836,Mais funcionalidades,Combustível de qualidade,Serviços adicionais,Programa de fidelidade,"Importante, mas não influencia minha escolha",Mensalmente,Formas de Pagamento,Raramente,Economia,Bom
Ana Júlia Ribeiro,Masculino,51,Moura,PI,Divorciado(a),Ensino Médio Completo,"R$ 7.828,65",Moto,Gasolina,2321,Mais funcionalidades,Segurança,Qualidade do combustível,Postos mais modernos,"Importante, mas não influencia minha escolha",Semanalmente,Localização,Semanalmente,Ambiental,Bom
Daniela Souza,Feminino,30,Cardoso de Peixoto,AC,Viúvo(a),Ensino Superior Incompleto,"R$ 9.242,17",Caminhão,Diesel,1700,Design do aplicativo,Combustível de qualidade,Serviços adicionais,Melhorias no ambiente de loja de conveniência,Não considero importante,Semanalmente,Preço,Diariamente,Economia,Bom
Giovanna Gonçalves,Feminino,64,Dias,AC,Solteiro(a),Ensino Médio Incompleto,"R$ 9.959,89",Carro,GNV,3954,Design do aplicativo,Combustível de qualidade,Qualidade do combustível,Postos mais modernos,Extremamente importante e só escolho postos que levam isso a sério,Diariamente,Serviços Oferecidos,Raramente,Facilidade,Excelente
Luiz Miguel Castro,Feminino,50,Castro,AC,Casado(a),Ensino Médio Incompleto,"R$ 7.570,89",Camionete,Diesel,1561,Design do aplicativo,Limpeza e organização,Preço,Melhorias no ambiente de loja de conveniência,"Importante, mas não influencia minha escolha",Diariamente,Localização,Raramente,Vantagens,Ótimo
Dr. Samuel Pires,Feminino,59,da Mota,AP,Divorciado(a),Pós-graduação,"R$ 8.985,22",Ônibus,Diesel,461,Design do aplicativo,Atendimento ao cliente,Preço,Mais opções de pagamento,Extremamente importante e só escolho postos que levam isso a sério,Mensalmente,Preço,Diariamente,Economia,Excelente
Lavínia Barros,Feminino,69,Pinto,PA,Viúvo(a),Ensino Médio Incompleto,"R$ 4.369,64",Caminhão,Diesel,1998,Mais funcionalidades,Atendimento ao cliente,Preço,Postos mais modernos,Não considero importante,Semanalmente,Formas de Pagamento,Semanalmente,Indicação,Ruim
Calebe da Mota,Feminino,18,Pereira,SE,Divorciado(a),Ensino Médio Completo,"R$ 6.672,23",Caminhão,Diesel,630,Mais funcionalidades,Limpeza e organização,Preço,Postos mais modernos,Não considero importante,Mensalmente,Localização,Mensalmente,Ambiental,Bom
Joaquim Moraes,Feminino,18,Rocha,GO,Casado(a),Ensino Médio Incompleto,"R$ 6.162,29",Moto,Gasolina,3326,Maior facilidade de uso,Atendimento ao cliente,Qualidade do combustível,Mais opções de pagamento,Extremamente importante e só escolho postos que levam isso a sério,Raramente,Formas de Pagamento,Semanalmente,Indicação,Ruim
Maria Alice da Rocha,Masculino,32,Martins da Mata,TO,Solteiro(a),Ensino Médio Completo,"R$ 8.004,25",Moto,Gasolina,837,Mais funcionalidades,Segurança,Qualidade do combustível,Programa de fidelidade,Extremamente importante e só escolho postos que levam isso a sério,Diariamente,Promoções e Descontos,Semanalmente,Facilidade,Ruim
Thales Ribeiro,Feminino,63,da Rosa dos Dourados,MT,Viúvo(a),Ensino Superior Incompleto,"R$ 9.513,11",Camionete,Diesel,4272,Ofertas mais atraentes,Combustível de qualidade,Qualidade do combustível,Programa de fidelidade,"Importante, mas não influencia minha escolha",Raramente,Localização,Semanalmente,Facilidade,Ótimo
Sr. João Gabriel Cardoso,Feminino,71,Jesus,PA,Viúvo(a),Ensino Médio Incompleto,"R$ 5.894,41",Moto,Gasolina,3957,Design do aplicativo,Limpeza e organização,Qualidade do combustível,Postos mais modernos,Não considero importante,Diariamente,Serviços Oferecidos,Raramente,Economia,Bom
Augusto Rocha,Masculino,50,Nogueira,MA,Viúvo(a),Ensino Médio Incompleto,"R$ 9.340,32",Moto,Gasolina,3703,Ofertas mais atraentes,Combustível de qualidade,Preço,Programa de fidelidade,Extremamente importante e só escolho postos que levam isso a sério,Raramente,Promoções e Descontos,Semanalmente,Indicação,Ruim
Maria Martins,Masculino,23,Melo de Goiás,MT,Solteiro(a),Ensino Médio Incompleto,"R$ 7.362,27",Caminhão,Diesel,1570,Ofertas mais atraentes,Limpeza e organização,Qualidade do combustível,Mais opções de pagamento,Extremamente importante e só escolho postos que levam isso a sério,Mensalmente,Formas de Pagamento,Raramente,Ambiental,Ótimo
João Pedro Martins,Masculino,30,da Costa,PA,Viúvo(a),Ensino Superior Incompleto,"R$ 6.878,01",Moto,Gasolina,4277,Ofertas mais atraentes,Segurança,Preço,Melhorias no ambiente de loja de conveniência,"Importante, mas não influencia minha escolha",Mensalmente,Serviços Oferecidos,Diariamente,Economia,Excelente
Guilherme Peixoto,Masculino,44,da Mota do Amparo,CE,Viúvo(a),Ensino Superior Incompleto,"R$ 3.404,39",Camionete,Diesel,4593,Maior facilidade de uso,Atendimento ao cliente,Localização,Programa de fidelidade,"Importante, mas não influencia minha escolha",Raramente,Preço,Semanalmente,Facilidade,Excelente
Augusto Fernandes,Feminino,64,Fernandes,RN,Divorciado(a),Pós-graduação,"R$ 7.793,56",Moto,Gasolina,3038,Maior facilidade de uso,Atendimento ao cliente,Serviços adicionais,Programa de fidelidade,Extremamente importante e só escolho postos que levam isso a sério,Diariamente,Serviços Oferecidos,Semanalmente,Economia,Bom
Thiago Moreira,Masculino,21,Peixoto,MT,Divorciado(a),Ensino Médio Completo,"R$ 4.570,85",Carro,Gasolina,1888,Ofertas mais atraentes,Atendimento ao cliente,Qualidade do combustível,Mais opções de pagamento,Importante e influencia minha escolha,Raramente,Formas de Pagamento,Raramente,Indicação,Ruim
Amanda Rezende,Masculino,57,Barbosa do Norte,PI,Viúvo(a),Ensino Superior Incompleto,"R$ 3.667,44",Carro,Gasolina,1004,Mais funcionalidades,Limpeza e organização,Preço,Programa de fidelidade,Não considero importante,Mensalmente,Preço,Diariamente,Economia,Bom
Vitor da Mata,Masculino,72,Campos de Goiás,ES,Solteiro(a),Ensino Médio Incompleto,"R$ 1.641,46",Camionete,Diesel,901,Ofertas mais atraentes,Atendimento ao cliente,Qualidade do combustível,Postos mais modernos,Não considero importante,Diariamente,Preço,Diariamente,Ambiental,Ruim
Maria Araújo,Masculino,55,Farias de Souza,PB,Solteiro(a),Ensino Médio Completo,"R$ 6.775,10",Carro,Álcool,4773,Maior facilidade de uso,Combustível de qualidade,Preço,Programa de fidelidade,Não considero importante,Raramente,Serviços Oferecidos,Semanalmente,Facilidade,Ruim
Luiz Henrique Jesus,Feminino,67,Cunha,GO,Viúvo(a),Ensino Superior Completo,"R$ 8.953,56",Ônibus,Diesel,2599,Maior facilidade de uso,Limpeza e organização,Preço,Melhorias no ambiente de loja de conveniência,Não considero importante,Mensalmente,Formas de Pagamento,Diariamente,Indicação,Bom
Sr. Danilo da Conceição,Masculino,44,Ribeiro,ES,Viúvo(a),Ensino Médio Completo,"R$ 1.544,33",Moto,Gasolina,1916,Mais funcionalidades,Atendimento ao cliente,Serviços adicionais,Programa de fidelidade,Importante e influencia minha escolha,Semanalmente,Localização,Diariamente,Vantagens,Ótimo
Dr. Bryan Pereira,Masculino,45,Barbosa,BA,Solteiro(a),Ensino Médio Incompleto,"R$ 6.209,63",Camionete,Diesel,398,Design do aplicativo,Limpeza e organização,Preço,Programa de fidelidade,Não considero importante,Raramente,Qualidade Combustível,Mensalmente,Economia,Bom
Lívia da Cunha,Feminino,70,da Paz dos Dourados,RR,Viúvo(a),Ensino Médio Incompleto,"R$ 9.241,51",Ônibus,Diesel,1624,Maior facilidade de uso,Atendimento ao cliente,Serviços adicionais,Melhorias no ambiente de loja de conveniência,Não considero importante,Raramente,Serviços Oferecidos,Raramente,Economia,Excelente
Erick da Conceição,Masculino,54,da Mata Grande,BA,Casado(a),Ensino Médio Incompleto,"R$ 8.158,44",Ônibus,Diesel,3592,Ofertas mais atraentes,Combustível de qualidade,Serviços adicionais,Melhorias no ambiente de loja de conveniência,Não considero importante,Diariamente,Formas de Pagamento,Mensalmente,Vantagens,Ruim
Ana Vitória da Cunha,Feminino,20,da Paz,RJ,Casado(a),Ensino Superior Completo,"R$ 5.547,49",Carro,Gasolina,2779,Ofertas mais atraentes,Combustível de qualidade,Qualidade do combustível,Melhorias no ambiente de loja de conveniência,Importante e influencia minha escolha,Diariamente,Formas de Pagamento,Mensalmente,Facilidade,Bom
Davi Santos,Masculino,50,Pinto,PE,Divorciado(a),Pós-graduação,"R$ 7.107,33",Ônibus,Diesel,871,Mais funcionalidades,Atendimento ao cliente,Preço,Programa de fidelidade,Extremamente importante e só escolho postos que levam isso a sério,Raramente,Preço,Semanalmente,Ambiental,Bom
Dr. Davi Dias,Masculino,46,Barbosa,AP,Viúvo(a),Ensino Superior Completo,"R$ 4.235,70",Ônibus,Diesel,1542,Maior facilidade de uso,Combustível de qualidade,Serviços adicionais,Melhorias no ambiente de loja de conveniência,"Importante, mas não influencia minha escolha",Diariamente,Promoções e Descontos,Mensalmente,Ambiental,Excelente
Maria Sophia Viana,Feminino,18,das Neves,SE,Solteiro(a),Pós-graduação,"R$ 4.574,20",Moto,Gasolina,146,Ofertas mais atraentes,Combustível de qualidade,Qualidade do combustível,Programa de fidelidade,Não considero importante,Mensalmente,Promoções e Descontos,Mensalmente,Ambiental,Excelente
Igor Oliveira,Masculino,28,Almeida do Amparo,TO,Divorciado(a),Ensino Médio Incompleto,"R$ 7.508,65",Carro,Álcool,4066,Mais funcionalidades,Atendimento ao cliente,Serviços adicionais,Melhorias no ambiente de loja de conveniência,Extremamente importante e só escolho postos que levam isso a sério,Diariamente,Promoções e Descontos,Mensalmente,Indicação,Ruim
Breno Campos,Feminino,35,Pinto de da Luz,GO,Casado(a),Ensino Médio Completo,"R$ 2.119,11",Camionete,Diesel,1851,Mais funcionalidades,Combustível de qualidade,Preço,Melhorias no ambiente de loja de conveniência,"Importante, mas não influencia minha escolha",Mensalmente,Qualidade Combustível,Semanalmente,Facilidade,Ótimo
Kevin Rezende,Feminino,80,da Luz,TO,Casado(a),Pós-graduação,"R$ 1.518,99",Caminhão,Diesel,4815,Ofertas mais atraentes,Atendimento ao cliente,Qualidade do combustível,Postos mais modernos,Não considero importante,Mensalmente,Localização,Semanalmente,Ambiental,Ótimo
Bianca Teixeira,Feminino,73,Correia de Cunha,PA,Casado(a),Ensino Médio Incompleto,"R$ 5.492,48",Camionete,Diesel,4723,Design do aplicativo,Combustível de qualidade,Localização,Programa de fidelidade,"Importante, mas não influencia minha escolha",Diariamente,Formas de Pagamento,Mensalmente,Facilidade,Bom
Maria Fernanda Fogaça,Masculino,29,Campos de Cardoso,RN,Viúvo(a),Ensino Superior Incompleto,"R$ 5.212,31",Caminhão,Diesel,3556,Design do aplicativo,Limpeza e organização,Serviços adicionais,Melhorias no ambiente de loja de conveniência,"Importante, mas não influencia minha escolha",Mensalmente,Serviços Oferecidos,Semanalmente,Ambiental,Ótimo
Alice Monteiro,Masculino,57,Rodrigues de Nogueira,PR,Viúvo(a),Pós-graduação,"R$ 9.861,24",Moto,Gasolina,1918,Ofertas mais atraentes,Combustível de qualidade,Localização,Postos mais modernos,Extremamente importante e só escolho postos que levam isso a sério,Diariamente,Promoções e Descontos,Mensalmente,Vantagens,Ruim
Sophia Azevedo,Feminino,23,Pereira do Sul,PR,Solteiro(a),Ensino Superior Incompleto,"R$ 6.371,46",Carro,Álcool,1311,Mais funcionalidades,Combustível de qualidade,Localização,Melhorias no ambiente de loja de conveniência,Não considero importante,Mensalmente,Serviços Oferecidos,Diariamente,Vantagens,Ótimo
Catarina Martins,Masculino,34,da Costa,ES,Divorciado(a),Ensino Superior Completo,"R$ 6.330,54",Ônibus,Diesel,1017,Ofertas mais atraentes,Combustível de qualidade,Qualidade do combustível,Mais opções de pagamento,Extremamente importante e só escolho postos que levam isso a sério,Raramente,Qualidade Combustível,Diariamente,Economia,Ruim
Marcelo Fogaça,Feminino,30,da Luz,RO,Viúvo(a),Ensino Superior Completo,"R$ 2.740,22",Caminhão,Diesel,1637,Design do aplicativo,Segurança,Qualidade do combustível,Programa de fidelidade,"Importante, mas não influencia minha escolha",Mensalmente,Preço,Semanalmente,Facilidade,Excelente
Danilo Ramos,Masculino,35,Ferreira,RS,Solteiro(a),Ensino Médio Incompleto,"R$ 1.716,62",Caminhão,Diesel,4366,Ofertas mais atraentes,Limpeza e organização,Qualidade do combustível,Melhorias no ambiente de loja de conveniência,Importante e influencia minha escolha,Diariamente,Localização,Semanalmente,Economia,Ruim
Dra. Ana Clara da Rosa,Feminino,33,da Cunha,MA,Solteiro(a),Ensino Superior Completo,"R$ 6.483,46",Moto,Gasolina,4204,Design do aplicativo,Combustível de qualidade,Localização,Mais opções de pagamento,"Importante, mas não influencia minha escolha",Semanalmente,Promoções e Descontos,Diariamente,Economia,Bom
Sophia Costa,Feminino,22,Nunes,MT,Casado(a),Pós-graduação,"R$ 1.923,54",Moto,Gasolina,3650,Mais funcionalidades,Segurança,Localização,Programa de fidelidade,"Importante, mas não influencia minha escolha",Raramente,Preço,Raramente,Vantagens,Bom
João Guilherme Martins,Feminino,43,Sales,AC,Casado(a),Ensino Superior Completo,"R$ 5.953,45",Ônibus,Diesel,2719,Ofertas mais atraentes,Combustível de qualidade,Serviços adicionais,Postos mais modernos,Não considero importante,Diariamente,Formas de Pagamento,Mensalmente,Facilidade,Bom
Dr. Enzo Gabriel Ribeiro,Feminino,40,Ramos,PR,Viúvo(a),Ensino Superior Completo,"R$ 9.464,84",Caminhão,Diesel,3806,Mais funcionalidades,Limpeza e organização,Localização,Postos mais modernos,Não considero importante,Raramente,Preço,Mensalmente,Facilidade,Ruim
