"pessoa
nome","pessoa
idade","pessoa
genero","pessoa
etinia","pessoa
pcd","pessoa
estado civil","pessoa
escolaridade","pessoa
cidade","pessoa
estado ","pessoa
renda","veiculo
tipo","veiculo
combustivel","veiculo
km_mes","veiculo
abastecimento"
Bruna Costa,71,Feminino Cisgênero,Amarelo(a),Não,Divorciado(a),Ensino Superior Incompleto,Rio Branco ,AC,"R$ 3.732,12",Caminhão,Diesel,2304,Diária
Bruna da Cunha,71,Feminino Cisgênero,Preto(a),Não,Viúvo(a),Ensino Básico Incompleto,Goiânia,GO,"R$ 2.139,80",Carro,Gasolina,649,Quinzenal
Bruna Jesus,23,Feminino Transgênero,Amarelo(a),Sim,Solteiro(a),Ensino Superior Completo,Jundiaí,SP,"R$ 9.226,77",Moto,Gasolina,4306,Diária
Bruna Moreira,54,Feminino Cisgênero,Indígena,Não,Divorciado(a),Ensino Superior Completo,Fortaleza,CE,"R$ 8.761,90",Caminhão,Diesel,3411,Diária
Bruno Barbosa,25,Masculino Cisgênero,Amarelo(a),Não,Divorciado(a),Ensino Superior Completo,Santa Maria,MS,"R$ 1.798,95",Caminhão,Diesel,38,Mensal
Bruno Lima,63,Masculino Cisgênero,Branco(a),Não,Viúvo(a),Pós-graduação,Jundiaí,SP,"R$ 6.937,81",Caminhão,Diesel,3739,Mensal
Bruno Oliveira,56,Masculino Cisgênero,Indígena,Não,Viúvo(a),Ensino Superior Completo,Montes Claros,MG,"R$ 7.680,52",Ônibus,Diesel,4872,Quinzenal
Bruno Pires,53,Masculino Cisgênero,Pardo(a),Não,Divorciado(a),Pós-graduação,Salvador,BA,"R$ 7.229,86",Ônibus,Diesel,611,Mensal
Bryan Barros,24,Masculino Cisgênero,Pardo(a),Sim,Casado(a),Ensino Médio Incompleto,Goiânia,GO,"R$ 7.527,08",Moto,Gasolina,3285,Semanal
Bryan Campos,20,Outros,Amarelo(a),Sim,Casado(a),Ensino Médio Completo,Rio de Janeiro,RJ,"R$ 9.624,77",Caminhão,Diesel,4225,Mensal
Bryan Fernandes,78,Masculino Cisgênero,Pardo(a),Não,Divorciado(a),Ensino Superior Completo,Belo Horizonte,SC,"R$ 2.857,14",Caminhão,Diesel,4520,Mensal
Bryan Freitas,62,Masculino Cisgênero,Branco(a),Não,Viúvo(a),Ensino Básico Completo,Santos,SP,"R$ 4.004,96",Carro,Gasolina,2597,Quinzenal
Bryan Pereira,45,Masculino Cisgênero,Amarelo(a),Sim,Solteiro(a),Ensino Médio Incompleto,Pelotas,RS,"R$ 6.209,63",Caminhonete,Diesel,398,Quinzenal
Caio Duarte,59,Masculino Cisgênero,Pardo(a),Não,Solteiro(a),Ensino Médio Completo,Taubaté ,SP,"R$ 1.676,87",Ônibus,Diesel,3788,Semanal
Caio Farias,76,Masculino Cisgênero,Indígena,Não,Casado(a),Ensino Superior Incompleto,Montes Claros,MG,"R$ 2.670,52",Carro,Álcool,2379,Semanal
Caio Nascimento,65,Masculino Cisgênero,Preto(a),Não,Divorciado(a),Ensino Básico Completo,Rio de Janeiro,RJ,"R$ 6.550,05",Moto,Gasolina,2971,Quinzenal
Caio Santos,29,Masculino Cisgênero,Indígena,Não,Casado(a),Ensino Superior Incompleto,Caxias do Sul,RS,"R$ 8.249,26",Moto,Gasolina,4385,Semanal
Caio Silva,65,Masculino Cisgênero,Preto(a),Não,Casado(a),Ensino Superior Completo,Porto Velho,RO,"R$ 8.194,95",Moto,Gasolina,1876,Quinzenal
Caio Teixeira,58,Masculino Cisgênero,Pardo(a),Não,Solteiro(a),Ensino Médio Completo,Franca,SP,"R$ 8.614,73",Moto,Gasolina,1015,Semanal
Caio Viana,32,Masculino Cisgênero,Amarelo(a),Não,Viúvo(a),Ensino Médio Incompleto,Piracicaba,SP,"R$ 3.305,32",Caminhão,Diesel,4860,Diária
Calebe Aragão,48,Masculino Cisgênero,Pardo(a),Não,Casado(a),Ensino Médio Incompleto,Florianópolis,SC,"R$ 8.792,50",Moto,Gasolina,1284,Mensal
Calebe da Mota,18,Masculino Cisgênero,Branco(a),Não,Divorciado(a),Ensino Médio Completo,Rio de Janeiro,RJ,"R$ 6.672,23",Caminhão,Diesel,630,Mensal
Calebe Lima,74,Masculino Cisgênero,Pardo(a),Sim,Casado(a),Ensino Básico Incompleto,Manaus,AM,"R$ 2.012,94",Carro,Álcool,3535,Diária
Calebe Oliveira,67,Masculino Cisgênero,Branco(a),Não,Solteiro(a),Ensino Básico Completo,Recife,PE,"R$ 1.807,34",Carro,GNV,3080,Mensal
Calebe Rezende,39,Masculino Cisgênero,Pardo(a),Não,Casado(a),Ensino Médio Incompleto,Londrina,PR,"R$ 4.273,76",Caminhão,Diesel,4275,Semanal
Calebe Rocha,77,Masculino Cisgênero,Pardo(a),Não,Solteiro(a),Ensino Básico Incompleto,Bauru,SP,"R$ 1.819,20",Carro,GNV,191,Mensal
Calebe Souza,62,Masculino Cisgênero,Amarelo(a),Não,Casado(a),Ensino Médio Completo,Porto Velho,RO,"R$ 8.973,39",Moto,Gasolina,824,Quinzenal
Calebe Viana,29,Masculino Transgênero,Pardo(a),Sim,Solteiro(a),Pós-graduação,São Paulo,SP,"R$ 3.292,15",Ônibus,Diesel,3461,Mensal
Camila Alves,43,Feminino Cisgênero,Branco(a),Não,Casado(a),Ensino Básico Completo,Pelotas,RS,"R$ 6.918,88",Moto,Gasolina,1472,Mensal
Camila Araújo,21,Feminino Cisgênero,Indígena,Sim,Casado(a),Ensino Médio Completo,Belém do Pará,PA,"R$ 3.879,48",Caminhão,Diesel,1440,Semanal
Camila Carvalho,51,Feminino Cisgênero,Branco(a),Não,Viúvo(a),Ensino Médio Incompleto,Contagem,MG,"R$ 8.364,92",Moto,Gasolina,2006,Diária
Camila Costa,67,Feminino Cisgênero,Amarelo(a),Não,Solteiro(a),Ensino Superior Incompleto,Santarém ,PA,"R$ 6.864,70",Ônibus,Diesel,86,Mensal
Camila da Paz,60,Feminino Cisgênero,Preto(a),Não,Divorciado(a),Ensino Superior Incompleto,Caruaru,PE,"R$ 6.503,49",Caminhão,Diesel,3630,Semanal
Camila Mendes,64,Feminino Cisgênero,Preto(a),Não,Solteiro(a),Ensino Médio Incompleto,Florianópolis,SC,"R$ 5.513,40",Carro,Gasolina,3923,Quinzenal
Carlos Eduardo Gomes,57,Masculino Cisgênero,Indígena,Não,Casado(a),Ensino Superior Incompleto,Porto Velho,RO,"R$ 6.928,48",Moto,Gasolina,4445,Quinzenal
Carlos Eduardo Gonçalves,20,Masculino Cisgênero,Pardo(a),Não,Casado(a),Ensino Superior Incompleto,Rio de Janeiro,RJ,"R$ 5.606,76",Caminhão,Diesel,261,Quinzenal
Carlos Eduardo Ribeiro,66,Masculino Cisgênero,Preto(a),Não,Viúvo(a),Ensino Superior Incompleto,Duque de Caxias,RJ,"R$ 9.704,44",Ônibus,Diesel,3790,Diária
Carolina da Costa,51,Feminino Cisgênero,Branco(a),Não,Divorciado(a),Pós-graduação,Curitiba,PR,"R$ 6.032,04",Carro,Álcool,4535,Diária
Carolina Jesus,28,Feminino Cisgênero,Pardo(a),Não,Divorciado(a),Ensino Básico Incompleto,São José do Campos,SP,"R$ 1.708,86",Carro,Diesel,2568,Diária
Carolina Silva,31,Feminino Cisgênero,Preto(a),Não,Solteiro(a),Ensino Médio Completo,Pelotas,RS,"R$ 4.511,46",Caminhonete,Diesel,321,Diária
Caroline Oliveira,32,Feminino Cisgênero,Indígena,Não,Solteiro(a),Ensino Básico Completo,Santarém ,PA,"R$ 3.196,17",Moto,Gasolina,1732,Quinzenal
Caroline Rezende,19,Feminino Cisgênero,Branco(a),Não,Divorciado(a),Ensino Médio Incompleto,Nova Iguaçu,RJ,"R$ 9.475,33",Ônibus,Diesel,1687,Semanal
Caroline Santos,66,Feminino Cisgênero,Amarelo(a),Não,Viúvo(a),Ensino Médio Completo,Montes Claros,MG,"R$ 6.315,80",Moto,Gasolina,863,Semanal
Catarina Almeida,57,Feminino Cisgênero,Pardo(a),Não,Solteiro(a),Ensino Médio Completo,São João de Meriti,RJ,"R$ 9.313,17",Moto,Gasolina,2264,Semanal
Catarina Cardoso,19,Feminino Cisgênero,Pardo(a),Não,Solteiro(a),Ensino Superior Completo,Recife,PE,"R$ 8.780,46",Carro,Gasolina,1668,Diária
Catarina da Rosa,73,Feminino Cisgênero,Branco(a),Não,Viúvo(a),Pós-graduação,Santa Maria,MS,"R$ 3.237,58",Moto,Gasolina,4101,Mensal
Catarina das Neves,75,Feminino Cisgênero,Indígena,Não,Casado(a),Pós-graduação,Taubaté ,SP,"R$ 5.662,84",Ônibus,Diesel,4825,Diária
Catarina Duarte,66,Feminino Cisgênero,Preto(a),Não,Viúvo(a),Ensino Básico Completo,Salvador,BA,"R$ 2.226,43",Ônibus,Diesel,739,Diária
Catarina Farias,50,Feminino Cisgênero,Indígena,Não,Solteiro(a),Ensino Médio Completo,Bauru,SP,"R$ 6.643,90",Ônibus,Diesel,2647,Mensal
Catarina Martins,34,Feminino Cisgênero,Indígena,Sim,Divorciado(a),Ensino Superior Completo,Piracicaba,SP,"R$ 6.330,54",Ônibus,Diesel,1017,Quinzenal
Catarina Pinto,43,Feminino Cisgênero,Pardo(a),Não,Solteiro(a),Pós-graduação,Minas Gerais,MG,"R$ 5.394,28",Ônibus,Diesel,2239,Mensal
Catarina Santos,59,Feminino Cisgênero,Indígena,Não,Casado(a),Ensino Superior Completo,Rio Branco ,AC,"R$ 7.442,23",Carro,Álcool,2176,Quinzenal
Cauã Dias,75,Masculino Cisgênero,Preto(a),Não,Casado(a),Ensino Superior Incompleto,São Luís,CE,"R$ 5.540,54",Ônibus,Diesel,2305,Eventual
Cauã Nogueira,51,Masculino Cisgênero,Pardo(a),Não,Viúvo(a),Pós-graduação,Porto Velho,RO,"R$ 7.735,15",Moto,Gasolina,3946,Quinzenal
Cauã Pereira,77,Masculino Cisgênero,Pardo(a),Não,Viúvo(a),Ensino Superior Incompleto,Rio de Janeiro,RJ,"R$ 6.783,60",Moto,Gasolina,585,Diária
Cauã Vieira,46,Masculino Cisgênero,Amarelo(a),Não,Viúvo(a),Ensino Médio Completo,Duque de Caxias,RJ,"R$ 9.999,71",Carro,Álcool,3955,Quinzenal
Cauê Araújo,77,Masculino Cisgênero,Pardo(a),Não,Casado(a),Ensino Superior Incompleto,Jundiaí,SP,"R$ 8.600,55",Moto,Gasolina,26,Diária
Cauê Castro,63,Outros,Preto(a),Sim,Viúvo(a),Pós-graduação,São Bernardo do Campo,SP,"R$ 4.742,36",Ônibus,Diesel,2860,Quinzenal
Cauê da Mata,69,Masculino Cisgênero,Amarelo(a),Não,Divorciado(a),Ensino Médio Completo,Recife,PE,"R$ 9.053,11",Ônibus,Diesel,1483,Mensal
Cauê das Neves,29,Masculino Transgênero,Preto(a),Não,Viúvo(a),Ensino Superior Completo,São Luís,CE,"R$ 9.026,28",Moto,Gasolina,1385,Diária
Cauê Peixoto,46,Masculino Cisgênero,Amarelo(a),Sim,Divorciado(a),Pós-graduação,Montes Claros,MG,"R$ 3.219,17",Moto,Gasolina,3338,Quinzenal
Cauê Pereira,68,Masculino Cisgênero,Pardo(a),Não,Casado(a),Ensino Superior Incompleto,Santarém ,PA,"R$ 8.914,46",Ônibus,Diesel,4952,Quinzenal
Cecília Carvalho,47,Feminino Cisgênero,Indígena,Sim,Viúvo(a),Pós-graduação,Bauru,SP,"R$ 4.102,38",Moto,Gasolina,4525,Quinzenal
Clara Cavalcanti,25,Feminino Cisgênero,Indígena,Sim,Divorciado(a),Ensino Médio Completo,Governador Valadares,MG,"R$ 3.440,95",Caminhonete,Diesel,1177,Semanal
Clara da Cruz,21,Feminino Cisgênero,Indígena,Não,Solteiro(a),Ensino Superior Completo,Campo Grande,MS,"R$ 5.452,37",Ônibus,Diesel,1161,Quinzenal
Clara da Luz,65,Feminino Cisgênero,Pardo(a),Não,Casado(a),Ensino Superior Incompleto,São José do Rio Preto,SP,"R$ 3.164,00",Carro,Gasolina,853,Mensal
Clara das Neves,37,Feminino Cisgênero,Pardo(a),Não,Casado(a),Ensino Médio Incompleto,Florianópolis,SC,"R$ 4.614,13",Moto,Gasolina,2857,Diária
Clara Teixeira,63,Feminino Cisgênero,Pardo(a),Não,Solteiro(a),Pós-graduação,Duque de Caxias,RJ,"R$ 3.145,40",Caminhonete,Diesel,2811,Quinzenal
Clarice Barbosa,47,Feminino Cisgênero,Preto(a),Não,Solteiro(a),Ensino Básico Completo,Campinas,SP,"R$ 1.749,63",Moto,Gasolina,468,Diária
Clarice Caldeira,23,Feminino Cisgênero,Branco(a),Não,Solteiro(a),Ensino Médio Completo,São Bernardo do Campo,SP,"R$ 5.708,48",Ônibus,Diesel,706,Mensal
Clarice Cardoso,61,Feminino Cisgênero,Pardo(a),Não,Casado(a),Ensino Superior Incompleto,Franca,SP,"R$ 2.596,86",Caminhão,Diesel,3245,Semanal
Clarice da Conceição,48,Feminino Cisgênero,Branco(a),Não,Divorciado(a),Ensino Superior Incompleto,Rio de Janeiro,AL,"R$ 6.527,12",Caminhão,Diesel,3861,Diária
Clarice Nascimento,42,Feminino Cisgênero,Indígena,Não,Casado(a),Ensino Médio Completo,São Bernardo do Campo,SP,"R$ 6.351,43",Moto,Gasolina,852,Quinzenal
Daniel Alves,44,Masculino Cisgênero,Pardo(a),Não,Casado(a),Ensino Médio Incompleto,São Paulo,SP,"R$ 5.837,03",Caminhão,Diesel,3105,Quinzenal
Daniel Cardoso,64,Outros,Preto(a),Sim,Casado(a),Pós-graduação,Belém do Pará,PA,"R$ 7.278,94",Caminhão,Diesel,1051,Semanal
Daniel Castro,23,Masculino Cisgênero,Amarelo(a),Não,Solteiro(a),Ensino Médio Incompleto,Rio de Janeiro,RJ,"R$ 7.692,44",Ônibus,Diesel,3323,Diária
Daniel Melo,50,Masculino Cisgênero,Amarelo(a),Sim,Casado(a),Ensino Médio Completo,Santa Maria,MS,"R$ 5.579,61",Ônibus,Diesel,1145,Diária
Daniel Nogueira,38,Masculino Cisgênero,Preto(a),Sim,Divorciado(a),Ensino Superior Completo,Minas Gerais,MG,"R$ 8.197,61",Carro,Álcool,1733,Quinzenal
Daniel Peixoto,63,Masculino Cisgênero,Branco(a),Não,Casado(a),Ensino Básico Completo,Goiânia,GO,"R$ 2.127,75",Moto,Gasolina,3967,Semanal
Daniel Pinto,55,Masculino Cisgênero,Branco(a),Não,Solteiro(a),Ensino Superior Completo,Rio de Janeiro,RJ,"R$ 6.512,31",Moto,Gasolina,2285,Eventual
Daniela Barbosa,52,Feminino Cisgênero,Branco(a),Não,Solteiro(a),Pós-graduação,Nova Iguaçu,RJ,"R$ 3.033,07",Caminhão,Diesel,4848,Mensal
Daniela Freitas,58,Feminino Cisgênero,Pardo(a),Não,Solteiro(a),Ensino Básico Completo,Uberlândia,MG,"R$ 2.431,39",Caminhão,Diesel,2659,Mensal
Daniela Moreira,61,Feminino Cisgênero,Preto(a),Não,Divorciado(a),Ensino Médio Incompleto,São Luís,CE,"R$ 3.979,05",Caminhonete,Diesel,3363,Mensal
Daniela Souza,30,Feminino Cisgênero,Branco(a),Não,Viúvo(a),Ensino Superior Incompleto,Goiânia,GO,"R$ 9.242,17",Caminhão,Diesel,1700,Semanal
Danilo Aragão,26,Masculino Transgênero,Pardo(a),Não,Solteiro(a),Ensino Superior Completo,Santos,SP,"R$ 6.920,27",Caminhonete,Diesel,3889,Diária
Danilo Caldeira,60,Masculino Cisgênero,Preto(a),Sim,Viúvo(a),Ensino Básico Incompleto,Contagem,MG,"R$ 1.942,98",Ônibus,Diesel,2479,Semanal
Danilo da Conceição,44,Masculino Cisgênero,Preto(a),Sim,Viúvo(a),Ensino Médio Completo,São José do Campos,SP,"R$ 1.544,33",Moto,Gasolina,1916,Semanal
Danilo Moraes,43,Masculino Cisgênero,Pardo(a),Não,Casado(a),Ensino Médio Incompleto,Taubaté ,SP,"R$ 4.661,56",Moto,Gasolina,3144,Semanal
Danilo Ramos,35,Masculino Cisgênero,Pardo(a),Sim,Solteiro(a),Ensino Médio Incompleto,Vitória,ES,"R$ 1.716,62",Caminhão,Diesel,4366,Diária
Danilo Santos,50,Masculino Cisgênero,Preto(a),Não,Casado(a),Pós-graduação,Santos,SP,"R$ 7.545,86",Caminhão,Diesel,4352,Semanal
Danilo Viana,19,Masculino Cisgênero,Preto(a),Não,Casado(a),Ensino Superior Completo,Bauru,SP,"R$ 5.737,62",Caminhão,Diesel,63,Mensal
Davi Almeida,68,Masculino Cisgênero,Pardo(a),Não,Viúvo(a),Ensino Superior Completo,São Luís,CE,"R$ 8.398,76",Ônibus,Diesel,4076,Quinzenal
Davi Barros,18,Masculino Cisgênero,Amarelo(a),Não,Divorciado(a),Ensino Médio Completo,Recife,PE,"R$ 2.336,54",Caminhonete,Diesel,1979,Quinzenal
Davi Castro,28,Masculino Cisgênero,Pardo(a),Não,Viúvo(a),Ensino Superior Completo,Santos,SP,"R$ 3.528,13",Caminhão,Diesel,2371,Mensal
Davi da Cruz,40,Masculino Cisgênero,Amarelo(a),Não,Viúvo(a),Ensino Médio Completo,Rio de Janeiro,RJ,"R$ 9.107,14",Carro,GNV,3437,Quinzenal
Davi da Luz,31,Masculino Cisgênero,Pardo(a),Não,Casado(a),Ensino Superior Completo,Jundiaí,SP,"R$ 9.258,01",Moto,Gasolina,1206,Mensal
Davi da Mata,32,Masculino Cisgênero,Amarelo(a),Não,Casado(a),Pós-graduação,Rio de Janeiro,RJ,"R$ 8.769,16",Caminhonete,Diesel,133,Mensal
Davi da Mota,35,Masculino Cisgênero,Preto(a),Não,Solteiro(a),Ensino Superior Completo,Rio de Janeiro,RJ,"R$ 7.753,40",Ônibus,Diesel,2077,Quinzenal
Davi Dias,46,Masculino Cisgênero,Indígena,Sim,Viúvo(a),Ensino Básico Completo,Vitória,ES,"R$ 4.235,70",Ônibus,Diesel,1542,Diária
Davi Lopes,66,Masculino Cisgênero,Preto(a),Não,Divorciado(a),Pós-graduação,São José do Campos,SP,"R$ 7.868,35",Caminhão,Diesel,1484,Quinzenal
Davi Lucas Costela,20,Masculino Cisgênero,Indígena,Não,Viúvo(a),Ensino Superior Incompleto,Rio de Janeiro,RJ,"R$ 4.325,00",Caminhão,Diesel,255,Semanal
Davi Lucas da Mata,46,Masculino Cisgênero,Amarelo(a),Não,Viúvo(a),Ensino Superior Completo,Minas Gerais,MG,"R$ 4.494,44",Moto,Gasolina,2229,Diária
Davi Lucas da Rocha,74,Masculino Cisgênero,Branco(a),Não,Casado(a),Ensino Médio Incompleto,Curitiba,PR,"R$ 3.698,70",Caminhão,Diesel,3064,Diária
Davi Lucas Jesus,68,Masculino Cisgênero,Preto(a),Sim,Divorciado(a),Pós-graduação,Rio de Janeiro,RJ,"R$ 8.056,82",Moto,Gasolina,1758,Semanal
Davi Lucas Martins,29,Masculino Cisgênero,Pardo(a),Não,Divorciado(a),Pós-graduação,São Paulo,SP,"R$ 5.386,11",Moto,Gasolina,3027,Quinzenal
Davi Lucas Moreira,79,Masculino Cisgênero,Pardo(a),Não,Solteiro(a),Ensino Superior Incompleto,Vitória,ES,"R$ 8.029,97",Ônibus,Diesel,4985,Quinzenal
Davi Lucas Rezende,47,Masculino Cisgênero,Branco(a),Não,Viúvo(a),Ensino Superior Incompleto,Governador Valadares,MG,"R$ 7.001,92",Caminhão,Diesel,1270,Diária
Davi Lucas Viana,27,Masculino Cisgênero,Branco(a),Não,Casado(a),Ensino Básico Completo,Rio de Janeiro,RJ,"R$ 1.895,07",Carro,GNV,4182,Mensal
Davi Lucca Fogaça,45,Masculino Cisgênero,Preto(a),Não,Casado(a),Ensino Superior Incompleto,Maceió,AL,"R$ 3.455,26",Ônibus,Diesel,2337,Diária
Davi Lucca Lima,27,Masculino Cisgênero,Branco(a),Não,Casado(a),Pós-graduação,Nova Iguaçu,RJ,"R$ 7.395,61",Ônibus,Diesel,1971,Mensal
Davi Lucca Nunes,27,Masculino Transgênero,Pardo(a),Não,Solteiro(a),Ensino Médio Incompleto,Salvador,BA,"R$ 7.639,51",Carro,Álcool,188,Quinzenal
Davi Luiz Cavalcanti,77,Masculino Cisgênero,Pardo(a),Não,Solteiro(a),Ensino Superior Completo,Franca,SP,"R$ 4.234,79",Moto,Gasolina,2013,Semanal
Davi Luiz da Conceição,25,Masculino Cisgênero,Pardo(a),Não,Solteiro(a),Ensino Superior Completo,Caruaru,PE,"R$ 8.981,15",Ônibus,Diesel,544,Mensal
Davi Luiz Nunes,34,Masculino Cisgênero,Indígena,Sim,Viúvo(a),Ensino Médio Incompleto,Fortaleza,CE,"R$ 9.179,81",Carro,Álcool,725,Quinzenal
Davi Luiz Ribeiro,41,Masculino Cisgênero,Branco(a),Não,Viúvo(a),Pós-graduação,Uberlândia,MG,"R$ 5.207,91",Caminhonete,Diesel,379,Diária
Davi Luiz Rocha,49,Masculino Cisgênero,Pardo(a),Não,Solteiro(a),Ensino Médio Incompleto,Manaus,AM,"R$ 2.547,59",Moto,Gasolina,3612,Semanal
Davi Luiz Teixeira,43,Masculino Cisgênero,Branco(a),Não,Casado(a),Ensino Básico Completo,Rio de Janeiro,RJ,"R$ 2.637,51",Carro,GNV,675,Mensal
Davi Luiz Viana,48,Masculino Cisgênero,Pardo(a),Não,Casado(a),Ensino Médio Completo,Rio Branco ,AC,"R$ 4.130,97",Caminhão,Diesel,802,Semanal
Davi Ramos,62,Masculino Cisgênero,Pardo(a),Não,Divorciado(a),Ensino Médio Completo,Vila Velha,ES,"R$ 8.501,83",Caminhão,Diesel,1476,Diária
Davi Santos,50,Masculino Cisgênero,Pardo(a),Sim,Divorciado(a),Pós-graduação,Santa Maria,MS,"R$ 7.107,33",Ônibus,Diesel,871,Quinzenal
Diego Castro,36,Masculino Cisgênero,Pardo(a),Não,Solteiro(a),Ensino Superior Incompleto,Uberlândia,MG,"R$ 2.783,27",Caminhão,Diesel,1062,Quinzenal
Diego da Cruz,62,Masculino Cisgênero,Pardo(a),Não,Viúvo(a),Ensino Superior Completo,Rio de Janeiro,RJ,"R$ 8.798,72",Caminhão,Diesel,3674,Semanal
Diego Silva,28,Masculino Cisgênero,Amarelo(a),Não,Casado(a),Ensino Superior Completo,Vila Velha,ES,"R$ 8.266,25",Caminhão,Diesel,3368,Diária
Diogo Araújo,31,Masculino Cisgênero,Pardo(a),Não,Solteiro(a),Ensino Básico Completo,Campo Grande,MS,"R$ 1.680,25",Moto,Gasolina,3358,Diária
Diogo Barros,80,Masculino Cisgênero,Amarelo(a),Não,Divorciado(a),Ensino Superior Incompleto,Curitiba,PR,"R$ 6.906,35",Caminhão,Diesel,2469,Mensal
Diogo Costela,73,Masculino Cisgênero,Amarelo(a),Não,Divorciado(a),Ensino Superior Incompleto,Rio de Janeiro,RJ,"R$ 8.167,89",Caminhão,Diesel,27,Mensal
Diogo Martins,77,Masculino Cisgênero,Indígena,Não,Solteiro(a),Pós-graduação,Rio de Janeiro,RJ,"R$ 7.890,65",Carro,Gasolina,4232,Diária
Diogo Vieira,54,Masculino Cisgênero,Pardo(a),Não,Casado(a),Ensino Superior Incompleto,São José do Campos,SP,"R$ 9.086,50",Caminhão,Diesel,1863,Semanal
Eduarda Azevedo,78,Feminino Cisgênero,Amarelo(a),Não,Casado(a),Ensino Médio Completo,São Paulo,SP,"R$ 7.222,65",Moto,Gasolina,538,Semanal
Eduarda da Mata,37,Feminino Cisgênero,Preto(a),Sim,Solteiro(a),Pós-graduação,Caruaru,PE,"R$ 9.203,71",Ônibus,Diesel,2336,Semanal
Eduardo Barros,61,Masculino Cisgênero,Branco(a),Não,Casado(a),Ensino Básico Completo,São Bernardo do Campo,SP,"R$ 2.814,34",Caminhão,Diesel,4454,Diária
Eduardo Nogueira,39,Masculino Cisgênero,Pardo(a),Não,Solteiro(a),Ensino Médio Incompleto,Governador Valadares,MG,"R$ 5.115,23",Carro,GNV,3059,Diária
Eduardo Nunes,34,Masculino Cisgênero,Indígena,Sim,Viúvo(a),Ensino Superior Completo,Rio Branco ,AC,"R$ 5.891,44",Caminhão,Diesel,3818,Mensal
Eduardo Pinto,53,Masculino Cisgênero,Pardo(a),Não,Casado(a),Ensino Superior Completo,Governador Valadares,MG,"R$ 4.252,89",Caminhão,Diesel,2337,Diária
Eduardo Souza,66,Masculino Cisgênero,Pardo(a),Não,Solteiro(a),Ensino Básico Completo,Rio de Janeiro,RJ,"R$ 1.948,33",Ônibus,Diesel,141,Mensal
Elisa Almeida,25,Feminino Cisgênero,Branco(a),Não,Divorciado(a),Ensino Médio Completo,Maceió,AL,"R$ 6.388,85",Caminhonete,Diesel,1600,Quinzenal
Elisa Fogaça,74,Feminino Cisgênero,Pardo(a),Não,Casado(a),Ensino Básico Completo,Rio de Janeiro,RJ,"R$ 2.211,03",Caminhão,Diesel,3690,Mensal
Elisa Ramos,78,Feminino Cisgênero,Preto(a),Não,Divorciado(a),Ensino Médio Completo,Franca,SP,"R$ 3.611,33",Caminhão,Diesel,309,Diária
Eloah das Neves,72,Feminino Cisgênero,Pardo(a),Não,Viúvo(a),Ensino Médio Incompleto,São João de Meriti,RJ,"R$ 4.657,68",Ônibus,Diesel,746,Semanal
Eloah Ramos,23,Feminino Cisgênero,Amarelo(a),Sim,Divorciado(a),Pós-graduação,Rio de Janeiro,AL,"R$ 7.124,83",Ônibus,Diesel,1503,Semanal
Eloah Ribeiro,21,Feminino Cisgênero,Pardo(a),Não,Viúvo(a),Ensino Superior Incompleto,São Bernardo do Campo,SP,"R$ 4.778,56",Moto,Gasolina,2216,Mensal
Eloah Rocha,43,Feminino Cisgênero,Branco(a),Não,Solteiro(a),Ensino Básico Completo,Rio Branco ,AC,"R$ 2.958,63",Ônibus,Diesel,4149,Quinzenal
Eloah Rosa,35,Feminino Transgênero,Branco(a),Não,Casado(a),Pós-graduação,São Luís,CE,"R$ 6.357,49",Moto,Gasolina,21,Quinzenal
Emanuel da Paz,55,Masculino Cisgênero,Preto(a),Sim,Divorciado(a),Pós-graduação,Minas Gerais,MG,"R$ 3.074,53",Moto,Gasolina,4576,Mensal
Emanuel Gomes,68,Masculino Cisgênero,Pardo(a),Não,Viúvo(a),Ensino Superior Completo,São João de Meriti,RJ,"R$ 4.764,54",Caminhão,Diesel,1045,Quinzenal
Emanuel Ramos,36,Masculino Cisgênero,Preto(a),Não,Viúvo(a),Ensino Básico Completo,Caxias do Sul,RS,"R$ 3.278,79",Moto,Gasolina,528,Quinzenal
Emanuella Alves,36,Feminino Transgênero,Pardo(a),Sim,Divorciado(a),Ensino Básico Completo,Maceió,AL,"R$ 9.724,71",Caminhão,Diesel,2561,Quinzenal
Emanuella Gomes,18,Feminino Cisgênero,Preto(a),Não,Divorciado(a),Ensino Médio Incompleto,Bauru,SP,"R$ 3.460,65",Ônibus,Diesel,4130,Semanal
Emanuelly Pires,70,Feminino Cisgênero,Preto(a),Não,Divorciado(a),Pós-graduação,Vila Velha,ES,"R$ 4.827,76",Ônibus,Diesel,3518,Quinzenal
Emanuelly Rezende,37,Feminino Cisgênero,Branco(a),Não,Solteiro(a),Ensino Superior Incompleto,Rio de Janeiro,RJ,"R$ 5.452,40",Carro,Gasolina,4761,Quinzenal
Emanuelly Ribeiro,39,Feminino Cisgênero,Branco(a),Não,Casado(a),Ensino Básico Completo,Contagem,MG,"R$ 2.542,84",Carro,GNV,391,Semanal
Emilly da Conceição,55,Feminino Cisgênero,Preto(a),Não,Viúvo(a),Ensino Superior Completo,Goiânia,GO,"R$ 9.257,14",Carro,Álcool,3954,Eventual
Emilly Farias,51,Feminino Cisgênero,Amarelo(a),Sim,Viúvo(a),Ensino Médio Completo,Minas Gerais,MG,"R$ 5.313,86",Caminhão,Diesel,2507,Semanal
